measurement_unit;name
г;приправа для рыбы
по вкусу;приправа для салатов
ч. л.;приправа заатар
ст. л.;приправа креольская
ч. л.;приправа с сушеными грибами
г;приправы
г;прованские травы
г;проволоне
мл;просекко
г;простокваша
г;протеин сывороточный
г;прошутто
г;пряники
г;пряничные специи
г;пряности
г;псиллиум
г;птитим
г;пудинг
г;пудинг ванильный
упаковка;пудинг ванильный инстант
г;пудинг карамельный
г;пшеница
г;пшеничная крупа
г;пшеничная мука
г;пшеничная мука цельнозерновая
стакан;пшеничные зародыши
г;пшеничные отруби
г;пшеничные ростки
г;пшеничные хлопья
ст. л.;пшенные хлопья
г;пшено
г;пыльца цветочная
по вкусу;пюре
шт.;радиккио
г;разрыхлитель
шт.;раки
г;раковые шейки
г;раковые шейки в рассоле
г;рамбутан
г;рапаны
по вкусу;рапсовое масло
г;рассол
ст. л.;рассол от каперсов
ст. л.;рассол от оливок
г;растительное масло
г;растительное масло для жарки
стакан;растительное масло нерафинированное
г;растительное масло рафинированное
стакан;растительное молоко
г;ревень
веточка;реган
г;редис
г;редька
шт.;редька белая
шт.;редька зеленая
шт.;редька черная
г;репа
шт.;репа белая
г;ржаная закваска
г;ржаная закваска густая
г;ржаная мука
г;ржаные отруби
г;ригатони
г;рикотта
г;рикотта твердая
г;рис
г;рис арборио
г;рис басмати
г;рис бурый
г;рис бурый и дикий смесь
г;рис вареный
г;рис виола
г;рис девзира
г;рис дикий
г;рис дикий и золотистый смесь
г;рис длиннозерный
г;рис длиннозерный золотистый
г;рис для плова
г;рис для пудинга
г;рис для ризотто
г;рис для суши
г;рис жасминовый
г;рис золотистый
г;рис индика
г;рис италика
г;рис карнароли
г;рис красный
г;рис круглозерный
г;рис кубанский
г;рисовая бумага
г;рисовая лапша
г;рисовая мука
ч. л.;рисовое вино
г;рисовые хлопья
г;рисовые шарики воздушные
ст. л.;рисовый крахмал
по вкусу;рисовый уксус
г;рис пропаренный
г;рис пропаренный и дикий смесь
г;рис японика
г;рожь
шт.;розмарин
по вкусу;розмарин сушеный
г;розовая вода
г;розовые бутоны сушеные
г;розовые лепестки
г;розы
г;рокфор
бутылка;ром
г;ромашка сушеная
ч. л.;ромовый экстракт
г;ром темный
г;ростбиф
г;рукола
по вкусу;рулька
г;рыба
г;рыба белая
г;рыба белая филе
банка;рыба консервированная
г;рыба копченая
г;рыба копченая филе
г;рыба красная
г;рыба красная соленая
г;рыба красная филе
г;рыба-меч
г;рыба морская
шт.;рыба солнечник филе
тушка;рыба-соль
г;рыбное филе
г;рыбные консервы
г;рыбные кости
 головы;рыбные обрезки
г;рыбный бульон
г;рыбный соус
г;рыбный соус Nam Pla
г;рыбный соус тайский
г;рыбный фарш
г;рябина черноплодная
г;рябчик
г;ряженка
г;ряженка 4%
г;сайда
г;сайда филе
г;сайра
банка;сайра консервированная
ст. л.;саке
г;салака
г;салат
г;салат айсберг
г;салат китайский
пучок;салат корн
г;салат кочанный
г;салат кучерявый
г;салат листовой
г;салатный микс
г;салат романо
г;салат фриссе
г;сало
г;сало копченое в перце
г;сало копченое с мясными прослойками
г;сало с мясными прослойками
г;сальник
г;сальса
ч. л.;сальса верде
г;салями
г;салями итальянская
г;сардельки
г;сардельки копченые
шт.;сардинки маленькие
г;сардины
банка;сардины в масле
г;сахар
г;сахар ванильный
г;сахар демерара
г;сахар жемчужный
г;сахар коричневый
г;сахар коричневый крупнокристаллический
горсть;сахар мусковадо
г;сахарная пудра
г;сахарная пудра апельсиновая
г;сахарная пудра ванильная
г;сахарные жемчужинки
горсть;сахарные кондитерские украшения
г;сахарный песок
г;сахарный песок крупный
г;сахарный песок мелкий
г;сахарный сироп
г;сахар пальмовый
г;сахар-рафинад
г;сахар-рафинад с корицей
г;сахар тростниковый
г;сванская соль
г;свекла
г;свекла вареная
г;свекольная ботва
г;свекольные листья
г;свиная вырезка
г;свиная голова
г;свиная грудинка
г;свиная корейка
г;свиная корейка копченая
г;свиная корейка на кости
г;свиная лопатка варено-копченая
г;свиная мякоть
кг;свиная пашина
г;свиная печень
по вкусу;свиная рулька
г;свиная рулька варено-копченая
г;свиная рулька копченая
кусок;свиная шейка
г;свинина
г;свинина вареная
г;свинина нежирная
г;свинина с жирком
г;свиное сердце
г;свиное филе
г;свиной подчеревок
г;свиной фарш
г;свиной язык
шт.;свиные котлеты на косточке
г;свиные легкие
г;свиные ножки
г;свиные отбивные
г;свиные отбивные на косточке
г;свиные ребра
шт.;свиные уши
шт.;свиные щечки
г;свити
г;сельдерей
г;сельдерей зелень
г;сельдерей корень
по вкусу;сельдерей корень сушеный
г;сельдерейная соль
ч. л.;сельдерей семена
г;сельдерей стебли
г;сельдь
г;сельдь слабосоленая
шт.;сельдь соленая
г;сельдь филе
г;семга
г;семга копченая
г;семга свежая
г;семга соленая
г;семга филе на коже
г;семечки
ст. л.;семечки смесь
г;семолина
г;сервелат варено-копченый
г;сибас
г;сидр
г;сироп
г;сироп от консервированных груш
ст. л.;сироп от консервированных персиков
стакан;сироп топинамбура
по вкусу;скумбрия
г;скумбрия свежая
г;скумбрия филе
г;скумбрия холодного копчения
упаковка;сливки
г;сливки 10-20%
г;сливки 15%
г;сливки 20%
г;сливки 33-35%
г;сливки жирные
г;сливки кондитерские
г;сливовая паста
г;сливовое варенье
г;сливовое вино
г;сливовый джем
ст. л.;сливовый ликер
г;сливовый соус
г;сливочное масло
кг;сливы
г;сливы замороженные
г;смалец
шт.;смесь для кекса
г;смесь для оладий
г;смесь для хлеба 8 злаков
г;сметана
г;сметана 10%
ч. л.;сметана 15%
г;сметана 18%
г;сметана 20%
г;сметана 25%
г;сметана 30%
г;сметана 35%
г;сметана жирная
г;сметана нежирная
г;сметана некислая
г;смородина сушеная
г;смородиновые листья
г;сморчки сухие
л;снежок
г;сныть
г;сода
г;соевая мука
г;соевое масло
г;соевое молоко
г;соевые ростки
г;соевый соус
г;сок
мл;сок из красных апельсинов
мл;сок мультивитаминный
мл;сок юзу
ч. л.;солод
г;солод жидкий
г;солодовый экстракт
г;солод темный
г;соломка
г;соль
г;соль гималайская
г;соль крупного помола
г;соль морская
г;сом филе
г;сосиски
шт.;сосиски из куриного фарша
г;сосиски копченые
г;соус
ст. л.;соус black bean
ч. л.;соус sambal oelek
г;соус барбекю
г;соус краснодарский
г;соус красный острый
по вкусу;соус мирин
г;соус наршараб
г;соус острый
по вкусу;соус песто
г;соус сацебели
капля;соус табаско
г;соус терияки
стакан;соус ткемали
г;соус ткемали благородный
ст. л.;соус ткемали ранний
ч. л.;соус устричный
г;соус чили
ч. л.;соус чили сладкий
г;соус экзотический
г;соя
г;спагетти
;спагетти № г
;спагетти № г
г;спагетти лунги
кг;спаржа
г;спаржа белая
г;спаржа зеленая
г;спаржа молодая
г;спек
стакан;спельта
г;спельтовая (полбяная) мука
г;специи
г;спирт
г;спирулина порошок
г;спред
г;ставрида
шт.;стейк семги
г;стейк семги
г;стеклянная лапша
г;страчателла
г;судак
г;судак филе
г;судак филе на коже
г;сулугуни
г;сулугуни копченый
г;сумах
г;суповой набор
по вкусу;сухари
г;сухари белые
г;сухари молотые
г;сухари панировочные
г;сухари ржаные
г;сухарная крошка
г;сухофрукты
по вкусу;сухофрукты тропические
г;сушки
г;сыворотка
г;сыр
г;сыр tete de moine
г;сыр Австрия блю
г;сыр адыгейский
г;сыр бри
г;сыр буко
г;сыр гауда
г;сыр гойя
г;сыр голландский
г;сыр голубой
г;сыр гравьера
г;сыр джугас
г;сыр домашний
г;сыр дорблю
г;сыр имеретинский
г;сыр кефалотири
г;сырки творожные
г;сыр козий мягкий
г;сыр козий твердый
г;сыр колбасный
г;сыр копченый
г;сыр коттедж
г;сыр Маскарпоне
г;сыр мраморный
по вкусу;сыр мягкий
г;сыр овечий
г;сыр панир
г;сыр пеше миньон
г;сыр плавленый
г;сыр плавленый шоколадный
г;сыр пластинками
г;сыр полутвердый
г;сыр провола
г;сыр российский
г;сыр скаморца
г;сыр скаморца копченый
г;сыр сливочный
г;сыр с плесенью
г;сыр с плесенью мягкий
г;сыр твердый
г;сыр филадельфия
г;сыр фонтина
г;сыр хаварти
г;сыр швейцарский
ч. л.;сычужный фермент
г;таледжо
г;тальолини
г;тальятелле
шт.;тальятелле-гнезда
шт.;тамаринд
ч. л.;тамариндовая паста
г;тапиока
по вкусу;тарталетки
ст. л.;тартар
г;тархун
г;творог
г;творог 18%
г;творог 2%
г;творог 5%
г;творог 9%
г;творог жирный
г;творог зерненый
г;творог обезжиренный
г;творожная масса
г;творожная паста
г;творожный сыр
г;творожный сыр соленый
г;творожок клубничный
стакан;текила
по вкусу;телятина
г;телятина вареная
г;телячий фарш
шт.;телячьи отбивные на косточке
шт.;телячьи шницели
г;телячьи эскалопы
г;телячья вырезка
г;телячья печень
шт.;телячья щека
г;тесто бездрожжевое
г;тесто готовое
г;тесто для вонтонов
шт.;тесто для пиццы
по вкусу;тесто дрожжевое
г;тесто катаифи
г;тесто макаронное
г;тесто макаронное для лазаньи
г;тесто пельменное
по вкусу;тесто песочное
г;тесто пресное
г;тесто пряничное
г;тесто слоеное
по вкусу;тесто слоеное бездрожжевое
кг;тесто слоеное дрожжевое
г;тесто фило
г;тилапия
г;тилапия филе
г;тильзитер
горсть;тимьян
веточка;тимьян лимонный
по вкусу;тимьян свежий
г;тимьян сушеный
г;ткемали
г;тмин
г;тмин молотый
г;томатная паста
г;томатное пюре
г;томатный концентрат
г;томатный порошок
г;томатный сок
г;томатный соус
г;томатный соус итальянский
г;томатный соус острый
г;томатный соус с базиликом
бутылка;тоник
г;топинамбур
г;топленое масло
по вкусу;тортильи
г;тортильони
г;тофу
г;травы ароматные
ч. л.;травы пряные с перцем
г;травы сухие
г;треска
г;треска печень
г;треска филе
г;трюфель
г;трюфельная крошка
ст. л.;трюфельное масло
шт.;трюфель черный
по вкусу;тунец
г;тунец консервированный
г;тунец филе
г;тушенка
г;тыква
шт.;тыквенное масло
г;тыквенное пюре
г;тыквенные семечки
г;тюлька свежая
г;угорь
г;угорь копченый
г;угурт
г;укроп
ч. л.;укропное семя
г;укроп свежий
г;укроп сушеный
г;уксус
г;уксус 9%
ст. л.;уксус из сидра
г;уксусная эссенция
г;уксус столовый
г;улитки
шт.;улитки виноградные
г;урюк
г;устрицы
г;утиная грудка
г;утиная печень
г;утиное филе
г;утиные бедрышки
по вкусу;утиные ножки
по вкусу;утка
г;утка печеная
тушка;утка тушка
г;уцхо-сунели
г;фазан
г;фарш (баранина и говядина)
г;фарш (свинина и курица)
г;фасоль
г;фасоль белая
г;фасоль белая консервированная
г;фасоль белая лима
г;фасоль зеленая стручковая
горсть;фасоль кенийская
г;фасоль кидни красная
г;фасоль консервированная
г;фасоль красная
стакан;фасоль красная вареная
г;фасоль красная консервированная
г;фасоль молодая замороженная
г;фасоль пинто
г;фасоль спаржевая вареная
г;фасоль стручковая
г;фасоль стручковая замороженная
г;фасоль стручковая консервированная
г;фасоль черный глаз
г;фейхоа
г;фенхель
г;фенхель семена
г;фенхель семена молотые
г;фестонате
г;фета
г;фетаки
г;фетакса
г;феттучине
шт.;фиалки засахаренные
г;фиалковый сироп
по вкусу;физалис
шт.;филе красного окуня
г;филе лосося
шт.;филе палтуса
г;финики
стакан;финики без косточек
г;финики иранские
шт.;финики иранские без косточек
г;фисташки
г;фисташки очищенные
горсть;фисташки очищенные несоленые
г;фисташки рубленые
г;фисташковая мука
г;фисташковая паста
г;фисташковое масло
по вкусу;фокачча
г;форель
г;форель вареная
г;форель горячего копчения
шт.;форель озерная свежая
г;форель слабосоленая
шт.;форель стейки
г;форель филе
г;форель холодного копчения
г;фрикадельки
шт.;фрукт дракона
г;фруктовый сироп
г;фруктовый сок
стакан;фруктовый сок без сахара
г;фруктоза
г;фрукты
г;фрукты консервированные
г;фундук
г;фундучная мука
г;фунчоза
г;халва
г;халва ванильная
г;халва подсолнечная
г;халуми
г;хамон
г;хек
г;хек филе
стакан;херес
ч. л.;хересный уксус
г;хлеб
батон;хлеб 7 злаков
г;хлеб белый
г;хлеб белый сухой
кусок;хлеб бородинский
г;хлеб датский ржаной
г;хлеб для сэндвичей
г;хлебная крошка
г;хлеб ржаной
г;хлеб серый
кусок;хлеб с кунжутом
г;хлеб цельнозерновой
г;хлебцы пшенично-ржаные цельнозерновые
г;хлопья 4 злака
г;хлопья 5 злаков
ст. л.;хлопья 7 злаков
стакан;хлопья быстрого приготовления
г;хлорид кальция
г;хмели-сунели
ст. л.;хмель
г;хрен
г;хрен протертый
г;хрен со сливками
г;хурма
г;хурма спелая
г;цесарка тушка
ч. л.;цикорий
горсть;цитроновые цукаты
шт.;цитрусовые цукаты
мл;цитрусовый свежевыжатый сок
г;цукаты
г;цукини
шт.;цукини цветы
г;цыплята
шт.;цыплята-корнишоны
г;чабер
г;чабрец
г;чабрец сушеный
пакетик;чай дарджилинг
ст. л.;чай жасминовый
пакетик;чай зеленый
г;чай копченый лапсанг сушонг
г;чай красный
ст. л.;чай ройбуш
г;чай черный
ч. л.;чай черный крупнолистовой
пакет;чай черный со специями
стакан;чай эрл грей
г;чатни манго
г;чеддер
г;черемуха
г;черемуховая мука
г;черемша
г;черешневый джем
г;черешня
ст. л.;черешня консервированная без косточек
г;черная смородина
г;черника
г;черника замороженная
г;чернила каракатицы
стакан;черничный джем
г;чернослив
г;чернослив без косточек
г;чернослив вяленый
г;чернослив копченый без косточек
г;черносмородиновое варенье
г;черносмородиновый джем
г;чеснок
г;чеснок молодой
г;чеснок сушеный
щепотка;чесночная соль
по вкусу;чесночное масло
г;чесночный порошок
г;чечевица
ст. л.;чечевица вареная
г;чечевица зеленая
г;чечевица красная
г;чечил спагетти
кусок;чиабатта
г;чиа семена
щепотка;чипотле молотый
г;чипсы
г;чоризо
г;шалфей
пучок;шалфей свежий
лист;шалфей сушеный
г;шампанское
стакан;шампанское советское
ст. л.;шампанское сухое
по вкусу;шампиньоны
г;шампиньоны замороженные
г;шампиньоны консервированные
г;шампиньоны маринованные
г;шампиньоны свежие
г;шафран
г;шафран имеретинский
ч. л.;шафран молотый
шт.;шафран нити
г;шелковица
г;шелковица сушеная
г;шиповник
г;шиповниковый сироп
г;шнапс
стебель;шнитт-лук
г;шоколад
г;шоколад белый
г;шоколад горький с апельсиновой цедрой
г;шоколад молочный
г;шоколад мятный
г;шоколадная паста
г;шоколадная стружка
г;шоколадное масло
г;шоколадно-ореховая паста
г;шоколадные горошины
г;шоколадные капли
г;шоколадные капли белые
г;шоколадные конфеты
г;шоколадные хлопья
горсть;шоколадные шарики из готовых завтраков
г;шоколадный ликер
г;шоколадный сироп
г;шоколадный соус
г;шоколад полусладкий
г;шоколад с орехами
г;шоколад черный горький
г;шоколад черный горький 70%
ч. л.;шоколад черный горький 75%
г;шоколад черный горький 85%
стакан;шортенинг
шт.;шпик
г;шпик копченый
г;шпинат
г;шпинат замороженный
г;шпинат молодой
г;шпинат свежий
г;шпроты
г;шпроты в масле
г;шрот
г;щавель замороженный
веточка;щавель свежий
г;щука
г;щука филе
стакан;эгг-ног
г;эдам
мл;эль
г;эмменталь
г;эскалоп
г;эстрагон
веточка;эстрагон сушеный
г;яблоки
кг;яблоки антоновка
г;яблоки гала
г;яблоки голден
кг;яблоки гренни смит
г;яблоки зеленые
шт.;яблоки красные
шт.;яблоки моченые
г;яблоки нетвердых сортов
г;яблоки сладкие
г;яблоки сушеные
ч. л.;яблочная эссенция
г;яблочное варенье
г;яблочное повидло
г;яблочное пюре
стакан;яблочные чипсы
г;яблочный джем
ст. л.;яблочный сироп
г;яблочный сок
ст. л.;яблочный соус
г;яблочный уксус
г;ягнятина
г;ягнятина кострец
г;ягнятина фарш
шт.;ягнячьи отбивные на косточке
г;ягнячья голень нарубленная
г;ягнячья корейка
ст. л.;ягодное варенье
г;ягодное желе
г;ягодный сироп
г;ягодный сок
г;ягодный соус кислый
г;ягоды
по вкусу;ягоды вяленые
г;ягоды замороженные
г;ягоды лесные
г;ягоды лесные замороженные
г;яичные белки
г;яичные желтки
шт.;яичные желтки вареные
г;яичные желтки крупные
г;яичный меланж
ст. л.;яичный порошок
г;яйца куриные
г;яйца куриные крупные
г;яйца перепелиные
г;японская крошка панко
г;ячменные хлопья
г;ячмень
г;ячневая крупа
